Age,Age Midpoint,1980,,,1981,,,1982,,,1983,,,1984,,,1985,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,
,,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population
22,22.5,"11,181.60","478,064","4,275,458","11,539.50","493,516","4,276,765","13,794.10","588,995","4,269,904","13,078.00","568,492","4,346,943","12,557.60","536,125","4,269,317","13,007.00","547,855","4,211,983","13,619.20","567,504","4,166,936","13,831.90","555,284","4,014,506","15,004.60","572,770","3,817,295","15,470.10","577,166","3,730,857","15,133.30","555,596","3,671,346","14,720.60","551,116","3,743,834","14,257.80","554,357","3,888,090","13,889.80","545,210","3,925,253","14,124.90","519,007","3,674,415","14,597.00","509,853","3,492,857","14,408.00","495,304","3,437,702","14,167.80","501,640","3,540,701","13,698.90","483,181","3,527,162","13,337.20","492,701","3,694,190","13,462.00","507,934","3,773,100","13,324.00","523,693","3,930,455","13,168.10","548,741","4,167,197","12,951.50","544,673","4,205,476","13,002.70","547,726","4,212,393","12,978.00","548,250","4,224,464","13,031.60","546,869","4,196,485","12,658.20","544,773","4,303,712","12,419.20","534,851","4,306,634","12,216.20","524,708","4,295,168","11,964.50","512,864","4,286,987","11,195.20","493,953","4,415,297","10,792.70","498,969","4,628,678","9,908.60","462,376","4,666,392","9,594.60","442,532","4,612,322"
23,23.5,"10,361.30","442,665","4,272,306","10,778.20","462,418","4,290,326","12,451.90","533,684","4,285,965","12,501.80","534,574","4,275,974","12,107.00","525,796","4,342,912","12,428.20","529,712","4,262,193","13,113.20","551,404","4,204,965","13,304.10","552,012","4,149,179","14,301.00","571,617","3,997,051","14,963.00","567,873","3,795,186","14,375.60","533,087","3,708,282","14,324.70","523,423","3,653,983","13,592.00","508,675","3,742,455","13,298.20","516,703","3,885,527","13,273.80","520,888","3,924,167","13,511.00","497,545","3,682,513","13,519.90","474,004","3,505,978","13,401.90","464,123","3,463,110","12,478.30","445,720","3,571,955","12,224.90","435,509","3,562,469","12,320.30","458,909","3,724,818","12,343.30","470,474","3,811,569","12,223.90","484,206","3,961,132","12,120.20","507,231","4,185,006","12,126.80","514,308","4,241,083","12,196.30","517,501","4,243,115","12,206.50","519,638","4,257,058","11,881.20","502,021","4,225,351","11,606.00","502,760","4,331,913","11,413.20","494,357","4,331,439","11,345.10","478,390","4,217,221","10,591.20","456,751","4,314,751","10,429.10","463,401","4,447,266","9,565.40","445,881","4,661,403","9,341.70","438,927","4,698,584"
24,24.5,"9,710.40","404,802","4,168,766","10,064.10","436,398","4,336,172","11,678.90","508,996","4,358,269","11,308.70","492,800","4,357,721","11,479.40","499,357","4,350,012","11,737.50","518,917","4,421,014","12,179.00","529,499","4,347,648","12,619.30","540,852","4,285,895","13,585.70","575,236","4,234,133","14,170.70","578,291","4,080,881","13,785.00","534,834","3,879,815","13,423.80","510,047","3,799,581","13,164.00","493,679","3,750,238","12,553.00","481,222","3,833,530","12,615.00","501,058","3,971,909","12,712.80","509,533","4,008,024","12,433.80","467,371","3,758,878","12,610.30","452,261","3,586,435","11,890.10","420,972","3,540,518","11,315.40","412,547","3,645,874","11,514.30","418,002","3,630,299","11,445.70","430,706","3,763,049","11,373.50","437,228","3,844,279","11,364.30","452,381","3,980,733","11,448.40","483,037","4,219,242","11,470.10","489,926","4,271,353","11,495.00","491,474","4,275,555","11,211.40","480,611","4,286,802","10,896.60","463,353","4,252,270","10,712.20","466,536","4,355,172","10,773.20","457,141","4,243,589","10,147.80","430,543","4,244,542","10,002.10","434,463","4,346,226","9,384.40","420,350","4,479,243","9,021.70","423,353","4,692,635"
25-29,27.5,"7,571.00","1,490,433","19,685,966","8,099.10","1,633,507","20,169,056","9,427.80","1,951,905","20,703,701","9,331.20","1,972,670","21,140,616","9,236.30","1,981,992","21,458,663","9,667.00","2,094,951","21,671,065","10,215.40","2,236,467","21,893,014","10,619.80","2,321,122","21,856,591","11,673.20","2,537,655","21,739,222","12,243.50","2,639,723","21,560,206","11,913.80","2,534,896","21,277,047","11,596.70","2,426,387","20,923,137","11,309.20","2,318,688","20,502,617","10,972.00","2,201,950","20,068,893","10,972.10","2,165,843","19,739,565","11,056.30","2,175,882","19,679,936","10,610.80","2,107,744","19,864,140","10,506.20","2,090,637","19,899,040","9,817.20","1,944,171","19,803,644","9,339.10","1,828,135","19,575,057","9,141.40","1,763,753","19,294,218","8,958.30","1,692,212","18,889,967","9,006.40","1,694,388","18,813,142","9,035.60","1,711,809","18,945,077","9,336.90","1,805,491","19,337,183","9,633.00","1,909,582","19,823,233","9,733.20","1,991,771","20,463,582","9,547.40","2,002,316","20,972,465","9,319.90","1,994,607","21,401,678","9,193.60","1,989,152","21,636,200","9,211.80","1,947,718","21,145,069","8,686.90","1,848,765","21,291,969","8,704.90","1,862,053","21,402,224","8,242.60","1,780,752","21,604,166","8,230.40","1,809,691","21,987,938"
30-34,32.5,"5,507.00","977,086","17,742,706","5,809.60","1,088,230","18,731,465","6,877.20","1,286,966","18,713,555","6,889.40","1,313,621","19,067,141","6,874.70","1,340,786","19,503,090","7,113.20","1,424,450","20,025,358","7,529.00","1,541,837","20,478,696","7,910.10","1,659,863","20,984,021","8,762.30","1,874,329","21,390,911","9,292.60","2,014,279","21,676,182","9,204.00","2,019,240","21,938,773","9,117.00","2,033,165","22,300,865","9,162.40","2,061,026","22,494,353","9,064.60","2,047,113","22,583,503","9,316.80","2,104,653","22,589,989","9,568.40","2,140,651","22,372,187","9,236.80","2,027,035","21,945,165","9,269.70","1,987,973","21,445,923","8,658.30","1,814,164","20,952,868","8,176.50","1,684,627","20,603,349","7,844.20","1,610,301","20,528,637","7,519.70","1,555,109","20,680,418","7,277.10","1,506,788","20,705,837","7,132.20","1,464,522","20,533,827","7,264.20","1,469,642","20,231,404","7,345.00","1,454,690","19,805,260","7,342.00","1,422,655","19,376,984","7,240.90","1,396,165","19,281,725","7,117.20","1,382,803","19,429,055","7,137.10","1,411,490","19,776,874","7,168.50","1,438,602","20,070,112","6,915.80","1,418,581","20,527,580","7,016.30","1,466,859","20,928,054","6,757.60","1,439,247","21,298,044","6,812.10","1,466,549","21,528,566"
35-39,37.5,"4,503.40","633,937","14,076,734","4,751.10","682,548","14,366,109","5,210.30","811,041","15,566,116","5,186.10","835,841","16,117,085","5,102.80","860,707","16,867,359","5,255.00","925,073","17,603,617","5,415.90","1,007,950","18,611,036","5,711.20","1,063,360","18,618,793","6,307.30","1,197,936","18,992,825","6,642.60","1,292,285","19,454,599","6,645.20","1,328,395","19,990,295","6,652.10","1,368,817","20,577,348","6,837.80","1,448,542","21,184,399","6,867.00","1,491,968","21,726,595","7,203.50","1,594,477","22,134,607","7,632.60","1,716,701","22,491,620","7,613.80","1,734,862","22,785,751","7,821.40","1,791,394","22,903,621","7,481.40","1,715,210","22,926,197","7,238.10","1,656,257","22,882,549","7,082.40","1,604,124","22,649,342","6,819.00","1,516,145","22,234,251","6,635.50","1,443,004","21,746,583","6,462.10","1,373,522","21,255,080","6,561.00","1,368,590","20,859,394","6,537.70","1,358,244","20,775,419","6,457.30","1,350,135","20,908,750","6,193.20","1,296,394","20,932,610","5,927.20","1,231,322","20,774,244","5,761.30","1,177,780","20,443,054","5,569.40","1,118,232","20,079,985","5,303.40","1,039,359","19,616,393","5,316.10","1,036,062","19,518,579","5,140.50","1,009,926","19,646,478","5,301.80","1,056,206","19,921,650"
40-44,42.5,"3,884.10","455,542","11,728,497","3,969.00","477,397","12,028,281","4,379.00","545,807","12,464,234","4,203.30","552,738","13,150,222","4,086.60","557,229","13,635,574","4,046.60","570,056","14,087,397","4,072.60","586,374","14,397,959","4,002.40","624,679","15,607,616","4,344.70","703,307","16,187,611","4,441.00","753,187","16,959,853","4,419.90","786,432","17,792,942","4,441.20","832,823","18,752,118","4,676.10","878,736","18,791,935","4,712.90","904,170","19,184,955","4,977.70","979,824","19,684,259","5,294.10","1,070,424","20,219,148","5,374.30","1,115,995","20,765,512","5,607.40","1,195,761","21,324,794","5,495.00","1,199,138","21,822,157","5,440.00","1,207,354","22,194,128","5,488.60","1,235,820","22,516,021","5,412.90","1,234,717","22,810,793","5,407.20","1,237,106","22,878,759","5,404.40","1,236,061","22,871,325","5,625.40","1,288,080","22,897,562","5,697.30","1,291,382","22,666,573","5,719.20","1,272,349","22,246,967","5,552.60","1,208,990","21,773,266","5,318.80","1,132,872","21,299,511","5,125.60","1,070,291","20,881,366","4,869.40","1,017,916","20,906,028","4,558.40","959,010","21,055,771","4,482.10","942,440","21,056,209","4,172.90","871,829","20,892,543","4,136.70","851,801","20,591,483"
45-49,47.5,"3,141.20","347,042","11,048,040","3,208.10","352,405","10,984,904","3,453.70","380,301","11,011,479","3,343.80","374,539","11,200,898","3,202.20","365,971","11,428,783","3,134.60","363,786","11,605,636","3,105.60","368,872","11,877,754","3,047.70","374,694","12,294,156","3,143.30","407,194","12,954,485","3,188.20","427,890","13,421,241","3,150.20","435,641","13,829,016","3,141.80","443,904","14,129,092","3,080.50","474,792","15,412,698","3,077.90","492,869","16,013,324","3,189.50","535,536","16,790,570","3,367.40","593,469","17,623,741","3,423.10","637,052","18,610,526","3,611.40","674,857","18,686,640","3,559.60","680,379","19,114,163","3,575.40","702,723","19,654,207","3,590.40","725,833","20,216,041","3,593.70","743,414","20,686,346","3,615.20","767,426","21,227,932","3,692.70","800,766","21,685,298","3,940.10","867,306","22,012,472","4,123.40","921,517","22,348,329","4,291.20","970,987","22,627,504","4,307.10","977,835","22,702,662","4,308.30","978,052","22,701,768","4,197.00","953,188","22,710,929","4,065.80","920,336","22,637,498","3,869.20","857,576","22,180,899","3,822.40","828,920","21,717,515","3,537.40","751,853","21,254,546","3,513.00","733,795","20,888,042"
50-54,52.5,"2,417.30","282,693","11,694,715","2,424.50","281,116","11,594,631","2,588.20","295,416","11,413,830","2,516.40","280,699","11,154,573","2,448.40","268,267","10,956,640","2,361.10","256,269","10,853,668","2,318.70","249,986","10,781,173","2,221.10","239,916","10,801,724","2,258.80","248,349","10,994,763","2,215.60","248,407","11,211,949","2,204.60","250,838","11,377,762","2,176.40","254,443","11,691,060","2,174.50","263,872","12,135,020","2,093.30","269,005","12,850,625","2,111.40","282,124","13,362,191","2,160.80","299,412","13,856,498","2,208.50","313,380","14,189,439","2,193.70","339,830","15,490,868","2,139.60","344,851","16,117,694","2,142.70","362,620","16,923,612","2,143.60","380,934","17,771,061","2,121.90","395,691","18,647,850","2,133.10","398,192","18,667,630","2,186.10","415,141","18,989,817","2,367.50","459,778","19,420,203","2,470.90","491,616","19,896,060","2,625.60","534,185","20,344,980","2,704.00","564,646","20,881,505","2,786.50","594,444","21,333,259","2,805.10","607,130","21,644,097","2,772.40","619,716","22,353,772","2,733.20","616,841","22,580,236","2,806.20","633,595","22,600,603","2,685.20","606,623","22,591,296","2,725.40","615,134","22,570,809"
55-59,57.5,"1,714.30","199,055","11,611,382","1,731.70","200,084","11,554,431","1,828.40","209,577","11,462,577","1,735.50","198,833","11,456,947","1,686.20","191,414","11,351,541","1,633.90","183,469","11,228,652","1,577.90","175,701","11,135,058","1,486.40","163,033","10,968,108","1,524.40","163,453","10,722,442","1,504.40","158,472","10,533,745","1,468.10","153,826","10,478,159","1,449.90","151,413","10,442,789","1,435.80","151,064","10,520,900","1,375.90","147,716","10,736,253","1,361.50","149,889","11,008,966","1,413.00","158,006","11,182,298","1,436.40","164,914","11,480,700","1,437.90","171,181","11,905,087","1,372.60","172,808","12,589,447","1,368.50","179,071","13,084,821","1,344.90","182,337","13,557,962","1,319.00","183,762","13,931,642","1,251.80","188,690","15,073,656","1,248.80","196,165","15,707,926","1,315.20","216,489","16,461,062","1,346.70","233,142","17,312,356","1,410.00","256,047","18,158,978","1,471.70","267,627","18,184,955","1,551.20","286,956","18,499,320","1,572.60","297,409","18,911,660","1,580.70","312,889","19,795,464","1,572.80","318,675","20,269,315","1,644.00","341,549","20,788,759","1,603.00","339,980","21,209,235","1,679.60","361,303","21,511,449"
60-64,62.5,"1,132.00","114,812","10,142,668","1,155.00","119,652","10,359,392","1,211.60","128,039","10,567,316","1,152.30","122,773","10,654,935","1,126.80","121,726","10,802,626","1,072.50","116,975","10,906,469","1,067.20","115,887","10,858,833",963.1,"103,852","10,782,580",970.9,"104,771","10,791,279",955.8,"102,340","10,707,253",945.8,"100,480","10,623,482",901.2,"95,552","10,603,072",889.1,"93,154","10,477,158",865.9,"89,125","10,292,218",869.2,"88,223","10,150,171",895.2,"90,757","10,137,724",898,"90,785","10,109,286",897.9,"91,539","10,194,224",847.1,"88,280","10,421,508",831.9,"88,960","10,693,205",834.8,"90,635","10,856,580",808.1,"89,747","11,105,781",762.8,"87,754","11,503,875",758,"91,792","12,110,474",795.7,"100,118","12,582,547",786.8,"102,208","12,990,194",811.3,"108,301","13,349,792",800.3,"115,761","14,464,667",832.8,"125,652","15,087,421",839.9,"132,844","15,817,238",827.5,"140,597","16,990,164",813.2,"144,884","17,821,109",860.4,"153,273","17,826,195",847.9,"153,755","18,133,809",891.1,"165,436","18,566,132"
